codigo_manzana,prom_edad,desv_edad,min_edad,max_edad,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000001020402,37.6,20.7,2.0,87.0,6.0,4.7,0.64,0.68
5000110000000001020408,41.6,22.3,2.0,100.0,6.0,4.2,0.61,0.78
5000110000000001020413,31.6,19.2,2.0,77.0,4.0,2.0,0.38,0.76
5000110000000001020414,33.2,21.4,2.0,82.0,4.0,2.1,0.33,0.63
5000110000000001020415,33.5,21.8,2.0,82.0,3.0,2.0,0.19,0.69
5000110000000001020416,40.5,24.5,2.0,92.0,3.0,2.0,0.32,0.68
5000110000000001020417,37.2,22.5,2.0,87.0,4.0,1.9,0.24,0.79
5000110000000001020419,31.8,20.8,2.0,67.0,3.0,1.2,0.2,0.87
5000110000000001020422,35.3,19.7,2.0,67.0,3.0,1.3,0.25,0.75
5000110000000001020423,44.2,21.9,2.0,97.0,6.0,5.6,0.66,0.72
5000110000000001020424,29.2,20.2,2.0,77.0,3.0,1.5,0.37,0.89
5000110000000001020425,39.4,20.7,2.0,82.0,7.0,5.0,0.43,0.47
5000110000000001020426,31.5,18.7,2.0,87.0,4.0,1.8,0.18,0.71
5000110000000001020427,30.7,20.5,2.0,87.0,3.0,1.1,0.2,0.72
5000110000000001020429,43.0,22.6,2.0,87.0,5.0,3.6,0.44,0.62
5000110000000001020501,39.4,21.2,2.0,82.0,4.0,3.0,0.45,1.0
5000110000000001020502,40.7,21.7,7.0,87.0,4.0,3.3,0.5,0.86
5000110000000001020503,38.9,20.0,7.0,77.0,5.0,3.6,0.57,0.77
5000110000000001020504,43.4,21.2,12.0,67.0,5.0,3.6,0.5,0.83
5000110000000001020505,40.0,20.5,7.0,82.0,5.0,3.2,0.58,0.92
5000110000000001020506,40.1,22.1,2.0,87.0,5.0,3.3,0.62,0.88
5000110000000001020507,34.2,21.5,2.0,82.0,4.0,2.0,0.2,1.0
5000110000000001020508,33.6,23.9,2.0,87.0,4.0,2.0,0.52,0.85
5000110000000001020509,35.1,22.3,2.0,97.0,4.0,2.1,0.35,0.8
5000110000000001020510,49.3,21.2,17.0,87.0,5.0,3.2,0.5,1.0
5000110000000001020511,45.9,18.9,17.0,67.0,5.0,2.3,0.44,0.78
5000110000000001020512,32.7,20.9,2.0,82.0,4.0,2.3,0.36,0.88
5000110000000001020601,38.3,20.1,2.0,97.0,6.0,3.0,0.42,0.73
5000110000000001020602,39.6,21.6,2.0,82.0,6.0,3.5,0.45,0.68
5000110000000001020603,38.6,21.8,2.0,87.0,5.0,3.6,0.6,0.86
5000110000000001020604,40.8,22.5,2.0,87.0,5.0,3.1,0.41,0.8
5000110000000001020605,43.1,22.3,2.0,87.0,5.0,3.1,0.73,0.88
5000110000000001020606,35.1,22.5,2.0,92.0,4.0,3.0,0.67,0.92
5000110000000001020607,39.7,22.6,2.0,97.0,5.0,3.6,0.48,0.85
5000110000000001020609,39.4,22.3,2.0,92.0,5.0,3.8,0.68,0.92
5000110000000001020610,41.4,21.4,2.0,87.0,6.0,3.9,0.71,0.79
5000110000000001020611,36.8,20.8,2.0,87.0,5.0,3.8,0.47,0.88
5000110000000001020612,43.0,25.9,2.0,87.0,4.0,4.0,0.29,0.86
5000110000000001020613,42.3,20.7,2.0,77.0,5.0,3.8,0.38,0.76
5000110000000001020614,40.6,22.2,2.0,87.0,5.0,3.7,0.69,0.88
5000110000000001020615,42.0,22.0,2.0,82.0,6.0,3.7,0.61,0.83
5000110000000001020616,41.3,21.8,12.0,92.0,5.0,3.1,0.33,1.0
5000110000000001020617,28.5,17.0,2.0,62.0,4.0,3.1,0.57,1.0
5000110000000001020701,38.6,22.2,2.0,87.0,5.0,3.2,0.68,0.89
5000110000000001020702,38.8,22.1,7.0,92.0,6.0,3.0,0.5,0.72
5000110000000001020703,38.3,21.3,2.0,82.0,6.0,4.1,0.41,0.84
5000110000000001020704,44.6,21.1,7.0,92.0,5.0,3.0,0.47,0.94
5000110000000001020705,31.1,18.1,2.0,72.0,4.0,2.7,0.43,1.0
5000110000000001020706,40.4,22.7,2.0,82.0,5.0,3.8,0.56,0.94
5000110000000001020710,45.3,22.3,2.0,82.0,6.0,3.0,0.64,0.91
5000110000000001020711,38.9,22.2,2.0,87.0,5.0,3.3,0.41,0.96
5000110000000001020712,37.7,20.6,2.0,87.0,5.0,3.4,0.64,0.78
5000110000000001020713,39.4,21.2,2.0,92.0,6.0,3.9,0.71,0.98
5000110000000001020714,41.3,23.9,2.0,92.0,5.0,3.4,0.44,0.72
5000110000000001020715,38.3,21.8,2.0,82.0,4.0,3.4,0.39,0.97
5000110000000001020716,38.7,21.7,7.0,82.0,6.0,3.6,0.77,0.77
5000110000000001020717,47.6,21.7,2.0,77.0,6.0,3.5,0.5,1.0
5000110000000001020718,48.9,21.9,2.0,87.0,5.0,3.7,0.53,0.95
5000110000000001020719,31.5,22.9,2.0,67.0,6.0,3.2,0.33,0.83
5000110000000001020720,43.6,23.0,2.0,87.0,6.0,3.9,0.61,0.91
5000110000000001020721,48.4,18.8,12.0,87.0,7.0,3.0,0.69,0.75
5000110000000001020723,43.7,22.3,7.0,82.0,5.0,3.1,0.67,0.83
5000110000000001020724,52.0,16.3,22.0,77.0,7.0,3.2,0.67,0.83
5000110000000001020802,47.5,20.3,2.0,72.0,7.0,5.0,0.92,0.92
5000110000000001020803,42.2,21.9,2.0,92.0,5.0,3.1,0.68,0.92
5000110000000001020804,41.9,22.2,2.0,92.0,5.0,3.0,0.44,0.92
5000110000000001020805,48.7,21.8,12.0,82.0,5.0,3.0,0.54,1.0
5000110000000001020807,39.6,22.0,2.0,97.0,5.0,3.0,0.44,0.78
5000110000000001020808,43.6,24.8,2.0,97.0,5.0,2.9,0.48,0.93
5000110000000001020809,40.5,23.2,2.0,97.0,5.0,3.0,0.33,0.88
5000110000000001020810,36.8,21.2,2.0,87.0,5.0,3.3,0.68,0.88
5000110000000001020812,37.7,21.0,2.0,87.0,5.0,2.9,0.35,0.76
5000110000000001020813,41.9,23.2,2.0,87.0,6.0,3.1,0.76,0.89
5000110000000001020816,35.3,20.8,2.0,82.0,5.0,3.0,0.48,0.93
5000110000000001020817,41.5,22.4,2.0,92.0,5.0,2.9,0.48,0.88
5000110000000001020818,40.6,23.6,2.0,100.0,5.0,2.9,0.7,1.0
5000110000000001020901,36.0,20.1,2.0,87.0,5.0,2.3,0.5,0.86
5000110000000001020902,41.9,23.1,2.0,92.0,5.0,2.5,0.41,0.84
5000110000000001020903,34.4,20.9,2.0,97.0,5.0,2.8,0.69,0.98
5000110000000001020904,39.8,21.5,2.0,87.0,5.0,3.0,0.42,0.64
5000110000000001020905,37.9,21.7,2.0,87.0,5.0,3.0,0.55,0.93
5000110000000001020908,41.2,21.0,2.0,87.0,5.0,2.9,0.54,0.92
5000110000000001020909,34.2,20.0,2.0,97.0,5.0,2.8,0.52,0.93
5000110000000001020910,38.9,21.1,2.0,82.0,5.0,3.1,0.62,0.91
5000110000000001020911,43.0,26.2,2.0,97.0,5.0,3.1,0.42,1.0
5000110000000001020912,38.8,21.8,2.0,87.0,5.0,2.7,0.46,0.92
5000110000000001020913,43.7,23.3,2.0,92.0,5.0,2.9,0.67,0.97
5000110000000001020914,50.2,25.0,2.0,87.0,4.0,2.8,0.38,1.0
5000110000000001020915,31.6,22.1,2.0,82.0,5.0,2.2,0.6,1.0
5000110000000001020917,40.1,24.2,2.0,92.0,4.0,2.0,0.46,0.78
5000110000000001020918,39.2,22.9,2.0,92.0,4.0,2.2,0.3,0.93
5000110000000001020919,35.7,20.2,2.0,87.0,4.0,2.2,0.44,0.9
5000110000000001020920,39.5,19.0,12.0,87.0,4.0,1.7,0.17,0.92
5000110000000001020922,25.6,19.1,2.0,82.0,3.0,1.6,0.25,0.67
5000110000000001020923,36.2,18.4,2.0,72.0,4.0,2.4,0.38,0.82
5000110000000001020924,32.2,22.0,2.0,97.0,3.0,1.1,0.35,0.9
5000110000000001021001,30.1,19.1,2.0,62.0,7.0,3.1,0.44,0.67
5000110000000002010112,32.1,21.0,2.0,77.0,3.0,1.1,0.24,0.82
5000110000000002010118,36.5,26.5,2.0,87.0,3.0,1.2,0.08,0.92
5000110000000002010119,27.3,17.8,7.0,62.0,2.0,1.0,0.17,0.5
